city,place_name,label_1번 (고즈넉/사색)_ratio,label_2번 (레트로/빈티지)_ratio,label_3번 (청량/애니메이션)_ratio,label_4번 (아기자기/소박)_ratio,top_label,sentence_count,place,top1_label,top1_ratio,top2_label,top2_ratio,place_description
가고시마,시로야마공원 전망대,46.8,7.3,37.6,8.3,label_1번 (고즈넉/사색),109,명소,1번 (고즈넉/사색),46.8,3번 (청량/바다),37.6,"시로야마공원 전망대은/는 가고시마에 위치한 명소로, 조용하고 차분한 분위기이 약 46.8%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 37.6%로 함께 나타난다. "
가고시마,아리무라 용암 전망대,23.6,14.2,56.6,5.7,label_3번 (청량/애니메이션),106,명소,3번 (청량/바다),56.6,1번 (고즈넉/사색),23.6,"아리무라 용암 전망대은/는 가고시마에 위치한 명소로, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기이 약 56.6%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 23.6%로 함께 나타난다. "
가고시마,아카미즈 전망광장,42.9,12.9,32.9,11.4,label_1번 (고즈넉/사색),70,명소,1번 (고즈넉/사색),42.9,3번 (청량/바다),32.9,"아카미즈 전망광장은/는 가고시마에 위치한 명소로, 조용하고 차분한 분위기이 약 42.9%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 32.9%로 함께 나타난다. "
가고시마,야키니쿠 규도 본점,14.3,64.3,7.1,14.3,label_2번 (레트로/빈티지),14,식당,2번 (레트로/빈티지),64.3,1번 (고즈넉/사색),14.3,"야키니쿠 규도 본점은/는 가고시마에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 64.3%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 14.3%로 함께 나타난다. "
가고시마,유노히라 전망대,37.6,22.0,38.5,1.8,label_3번 (청량/애니메이션),109,명소,3번 (청량/바다),38.5,1번 (고즈넉/사색),37.6,"유노히라 전망대은/는 가고시마에 위치한 명소로, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기이 약 38.5%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 37.6%로 함께 나타난다. "
가고시마,쿠로부타 후쿠야,17.9,39.7,24.4,17.9,label_2번 (레트로/빈티지),78,식당,2번 (레트로/빈티지),39.7,3번 (청량/바다),24.4,"쿠로부타 후쿠야은/는 가고시마에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 39.7%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 24.4%로 함께 나타난다. "
가고시마,텐몬칸,24.6,35.8,17.9,21.8,label_2번 (레트로/빈티지),179,명소,2번 (레트로/빈티지),35.8,1번 (고즈넉/사색),24.6,"텐몬칸은/는 가고시마에 위치한 명소로, 전통적이고 레트로한 빈티지 감성이 약 35.8%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 24.6%로 함께 나타난다. "
가고시마,흑돼지요리 주안,14.8,44.4,29.6,11.1,label_2번 (레트로/빈티지),27,식당,2번 (레트로/빈티지),44.4,3번 (청량/바다),29.6,"흑돼지요리 주안은/는 가고시마에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 44.4%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 29.6%로 함께 나타난다. "
가나자와,21세기 미술관,38.6,34.1,8.5,18.8,label_1번 (고즈넉/사색),176,명소,1번 (고즈넉/사색),38.6,2번 (레트로/빈티지),34.1,"21세기 미술관은/는 가나자와에 위치한 명소로, 조용하고 차분한 분위기이 약 38.6%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 34.1%로 함께 나타난다. "
가나자와,Cafe Restaurant Fusion 21,14.3,28.6,14.3,42.9,label_4번 (아기자기/소박),7,카페,4번 (아기자기/소박),42.9,2번 (레트로/빈티지),28.6,"Cafe Restaurant Fusion 21은/는 가나자와에 위치한 카페로, 아기자기하고 소박한 감성이 약 42.9%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 28.6%로 함께 나타난다. "
가나자와,Sabo Issho,40.3,16.1,3.2,40.3,label_1번 (고즈넉/사색),62,카페,1번 (고즈넉/사색),40.3,4번 (아기자기/소박),40.3,"Sabo Issho은/는 가나자와에 위치한 카페로, 조용하고 차분한 분위기이 약 40.3%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 40.3%로 함께 나타난다. "
가나자와,Uogashi Syokudo,12.5,25.0,0.0,62.5,label_4번 (아기자기/소박),8,식당,4번 (아기자기/소박),62.5,2번 (레트로/빈티지),25.0,"Uogashi Syokudo은/는 가나자와에 위치한 식당로, 아기자기하고 소박한 감성이 약 62.5%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 25.0%로 함께 나타난다. "
가나자와,remref,33.3,20.8,8.3,37.5,label_4번 (아기자기/소박),24,카페,4번 (아기자기/소박),37.5,1번 (고즈넉/사색),33.3,"remref은/는 가나자와에 위치한 카페로, 아기자기하고 소박한 감성이 약 37.5%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 33.3%로 함께 나타난다. "
가나자와,겐로쿠엔,44.6,32.0,16.9,6.5,label_1번 (고즈넉/사색),231,명소,1번 (고즈넉/사색),44.6,2번 (레트로/빈티지),32.0,"겐로쿠엔은/는 가나자와에 위치한 명소로, 조용하고 차분한 분위기이 약 44.6%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 32.0%로 함께 나타난다. "
가나자와,데판슈보하루,27.0,48.6,5.4,18.9,label_2번 (레트로/빈티지),37,식당,2번 (레트로/빈티지),48.6,1번 (고즈넉/사색),27.0,"데판슈보하루은/는 가나자와에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 48.6%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 27.0%로 함께 나타난다. "
가나자와,멘야타이가,21.3,46.8,6.4,25.5,label_2번 (레트로/빈티지),94,식당,2번 (레트로/빈티지),46.8,4번 (아기자기/소박),25.5,"멘야타이가은/는 가나자와에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 46.8%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 25.5%로 함께 나타난다. "
가나자와,스즈키 다이세츠칸,45.1,30.5,8.5,15.9,label_1번 (고즈넉/사색),82,명소,1번 (고즈넉/사색),45.1,2번 (레트로/빈티지),30.5,"스즈키 다이세츠칸은/는 가나자와에 위치한 명소로, 조용하고 차분한 분위기이 약 45.1%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 30.5%로 함께 나타난다. "
가나자와,야마상스시 본점,12.2,51.2,12.2,24.4,label_2번 (레트로/빈티지),41,식당,2번 (레트로/빈티지),51.2,4번 (아기자기/소박),24.4,"야마상스시 본점은/는 가나자와에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 51.2%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 24.4%로 함께 나타난다. "
가나자와,오야마 신사,34.5,47.6,14.3,3.6,label_2번 (레트로/빈티지),168,명소,2번 (레트로/빈티지),47.6,1번 (고즈넉/사색),34.5,"오야마 신사은/는 가나자와에 위치한 명소로, 전통적이고 레트로한 빈티지 감성이 약 47.6%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 34.5%로 함께 나타난다. "
가나자와,카나자와성 공원,60.0,20.0,0.0,20.0,label_1번 (고즈넉/사색),20,명소,1번 (고즈넉/사색),60.0,2번 (레트로/빈티지),20.0,"카나자와성 공원은/는 가나자와에 위치한 명소로, 조용하고 차분한 분위기이 약 60.0%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 20.0%로 함께 나타난다. "
가나자와,카이카로,27.9,31.1,8.2,32.8,label_4번 (아기자기/소박),61,카페,4번 (아기자기/소박),32.8,2번 (레트로/빈티지),31.1,"카이카로은/는 가나자와에 위치한 카페로, 아기자기하고 소박한 감성이 약 32.8%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 31.1%로 함께 나타난다. "
가나자와,코우린 스시,28.8,40.4,5.8,25.0,label_2번 (레트로/빈티지),52,식당,2번 (레트로/빈티지),40.4,1번 (고즈넉/사색),28.8,"코우린 스시은/는 가나자와에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 40.4%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 28.8%로 함께 나타난다. "
가나자와,쿄쿠센엔,38.5,46.2,7.7,7.7,label_2번 (레트로/빈티지),13,명소,2번 (레트로/빈티지),46.2,1번 (고즈넉/사색),38.5,"쿄쿠센엔은/는 가나자와에 위치한 명소로, 전통적이고 레트로한 빈티지 감성이 약 46.2%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 38.5%로 함께 나타난다. "
가나자와,히가시차야가이,34.4,31.2,17.6,16.8,label_1번 (고즈넉/사색),125,명소,1번 (고즈넉/사색),34.4,2번 (레트로/빈티지),31.2,"히가시차야가이은/는 가나자와에 위치한 명소로, 조용하고 차분한 분위기이 약 34.4%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 31.2%로 함께 나타난다. "
가루이자와,Atelier de Fromage Pizzeria,37.5,18.8,12.5,31.2,label_1번 (고즈넉/사색),16,식당,1번 (고즈넉/사색),37.5,4번 (아기자기/소박),31.2,"Atelier de Fromage Pizzeria은/는 가루이자와에 위치한 식당로, 조용하고 차분한 분위기이 약 37.5%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 31.2%로 함께 나타난다. "
가루이자와,Suju Masayuki Restaurant,23.8,38.1,4.8,33.3,label_2번 (레트로/빈티지),42,식당,2번 (레트로/빈티지),38.1,4번 (아기자기/소박),33.3,"Suju Masayuki Restaurant은/는 가루이자와에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 38.1%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 33.3%로 함께 나타난다. "
가루이자와,Tannentei,25.0,25.0,12.5,37.5,label_4번 (아기자기/소박),8,카페,4번 (아기자기/소박),37.5,1번 (고즈넉/사색),25.0,"Tannentei은/는 가루이자와에 위치한 카페로, 아기자기하고 소박한 감성이 약 37.5%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 25.0%로 함께 나타난다. "
가루이자와,TsuruTonTan UDON NOODLE Brasserie,33.3,33.3,16.7,16.7,label_1번 (고즈넉/사색),12,식당,1번 (고즈넉/사색),33.3,2번 (레트로/빈티지),33.3,"TsuruTonTan UDON NOODLE Brasserie은/는 가루이자와에 위치한 식당로, 조용하고 차분한 분위기이 약 33.3%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 33.3%로 함께 나타난다. "
가루이자와,가루이자와 레이크 가든,40.0,20.0,33.3,6.7,label_1번 (고즈넉/사색),15,명소,1번 (고즈넉/사색),40.0,3번 (청량/바다),33.3,"가루이자와 레이크 가든은/는 가루이자와에 위치한 명소로, 조용하고 차분한 분위기이 약 40.0%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 33.3%로 함께 나타난다. "
가루이자와,가루이자와 탈리에신,33.3,29.2,16.7,20.8,label_1번 (고즈넉/사색),24,명소,1번 (고즈넉/사색),33.3,2번 (레트로/빈티지),29.2,"가루이자와 탈리에신은/는 가루이자와에 위치한 명소로, 조용하고 차분한 분위기이 약 33.3%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 29.2%로 함께 나타난다. "
가루이자와,구 가루이자와 긴자 거리,24.0,32.0,12.0,32.0,label_2번 (레트로/빈티지),50,명소,2번 (레트로/빈티지),32.0,4번 (아기자기/소박),32.0,"구 가루이자와 긴자 거리은/는 가루이자와에 위치한 명소로, 전통적이고 레트로한 빈티지 감성이 약 32.0%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 32.0%로 함께 나타난다. "
가루이자와,마루야마커피 하루니레테라스점,12.5,25.0,0.0,62.5,label_4번 (아기자기/소박),8,카페,4번 (아기자기/소박),62.5,2번 (레트로/빈티지),25.0,"마루야마커피 하루니레테라스점은/는 가루이자와에 위치한 카페로, 아기자기하고 소박한 감성이 약 62.5%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 25.0%로 함께 나타난다. "
가루이자와,본 오카와 가루이자와 초콜렛 팩토리,12.5,37.5,0.0,50.0,label_4번 (아기자기/소박),8,카페,4번 (아기자기/소박),50.0,2번 (레트로/빈티지),37.5,"본 오카와 가루이자와 초콜렛 팩토리은/는 가루이자와에 위치한 카페로, 아기자기하고 소박한 감성이 약 50.0%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 37.5%로 함께 나타난다. "
가루이자와,사와무라 로스터리,25.0,20.8,0.0,54.2,label_4번 (아기자기/소박),24,카페,4번 (아기자기/소박),54.2,1번 (고즈넉/사색),25.0,"사와무라 로스터리은/는 가루이자와에 위치한 카페로, 아기자기하고 소박한 감성이 약 54.2%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 25.0%로 함께 나타난다. "
가루이자와,시라이토노타키 폭포,15.8,5.3,68.4,10.5,label_3번 (청량/애니메이션),19,명소,3번 (청량/바다),68.4,1번 (고즈넉/사색),15.8,"시라이토노타키 폭포은/는 가루이자와에 위치한 명소로, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기이 약 68.4%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 15.8%로 함께 나타난다. "
가루이자와,젤라테리아 지나,3.3,50.0,6.7,40.0,label_2번 (레트로/빈티지),30,카페,2번 (레트로/빈티지),50.0,4번 (아기자기/소박),40.0,"젤라테리아 지나은/는 가루이자와에 위치한 카페로, 전통적이고 레트로한 빈티지 감성이 약 50.0%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 40.0%로 함께 나타난다. "
가루이자와,카기모토야,12.5,15.0,12.5,60.0,label_4번 (아기자기/소박),40,식당,4번 (아기자기/소박),60.0,2번 (레트로/빈티지),15.0,"카기모토야은/는 가루이자와에 위치한 식당로, 아기자기하고 소박한 감성이 약 60.0%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 15.0%로 함께 나타난다. "
가루이자와,카와카미안 세키레바시점,29.6,37.0,3.7,29.6,label_2번 (레트로/빈티지),27,식당,2번 (레트로/빈티지),37.0,1번 (고즈넉/사색),29.6,"카와카미안 세키레바시점은/는 가루이자와에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 37.0%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 29.6%로 함께 나타난다. "
가루이자와,카페 스즈노네,55.0,15.0,5.0,25.0,label_1번 (고즈넉/사색),20,카페,1번 (고즈넉/사색),55.0,4번 (아기자기/소박),25.0,"카페 스즈노네은/는 가루이자와에 위치한 카페로, 조용하고 차분한 분위기이 약 55.0%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 25.0%로 함께 나타난다. "
가루이자와,쿠모바이케,44.6,22.9,17.8,14.6,label_1번 (고즈넉/사색),157,명소,1번 (고즈넉/사색),44.6,2번 (레트로/빈티지),22.9,"쿠모바이케은/는 가루이자와에 위치한 명소로, 조용하고 차분한 분위기이 약 44.6%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 22.9%로 함께 나타난다. "
기타큐슈,CAFE DE FAN FAN,10.5,50.0,7.0,32.6,label_2번 (레트로/빈티지),86,카페,2번 (레트로/빈티지),50.0,4번 (아기자기/소박),32.6,"CAFE DE FAN FAN은/는 기타큐슈에 위치한 카페로, 전통적이고 레트로한 빈티지 감성이 약 50.0%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 32.6%로 함께 나타난다. "
기타큐슈,가쓰야마공원,37.1,19.4,16.1,27.4,label_1번 (고즈넉/사색),124,명소,1번 (고즈넉/사색),37.1,4번 (아기자기/소박),27.4,"가쓰야마공원은/는 기타큐슈에 위치한 명소로, 조용하고 차분한 분위기이 약 37.1%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 27.4%로 함께 나타난다. "
기타큐슈,고쿠라성,48.4,23.7,14.4,13.5,label_1번 (고즈넉/사색),312,명소,1번 (고즈넉/사색),48.4,2번 (레트로/빈티지),23.7,"고쿠라성은/는 기타큐슈에 위치한 명소로, 조용하고 차분한 분위기이 약 48.4%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 23.7%로 함께 나타난다. "
기타큐슈,기타큐슈시립자연사박물관,46.8,29.8,10.6,12.8,label_1번 (고즈넉/사색),47,명소,1번 (고즈넉/사색),46.8,2번 (레트로/빈티지),29.8,"기타큐슈시립자연사박물관은/는 기타큐슈에 위치한 명소로, 조용하고 차분한 분위기이 약 46.8%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 29.8%로 함께 나타난다. "
기타큐슈,리버스,21.3,29.8,13.8,35.1,label_4번 (아기자기/소박),94,카페,4번 (아기자기/소박),35.1,2번 (레트로/빈티지),29.8,"리버스은/는 기타큐슈에 위치한 카페로, 아기자기하고 소박한 감성이 약 35.1%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 29.8%로 함께 나타난다. "
기타큐슈,리버워크 기타큐슈,27.4,30.6,14.5,27.4,label_2번 (레트로/빈티지),62,명소,2번 (레트로/빈티지),30.6,1번 (고즈넉/사색),27.4,"리버워크 기타큐슈은/는 기타큐슈에 위치한 명소로, 전통적이고 레트로한 빈티지 감성이 약 30.6%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 27.4%로 함께 나타난다. "
기타큐슈,모지코 레트로,26.9,48.5,10.8,13.8,label_2번 (레트로/빈티지),167,명소,2번 (레트로/빈티지),48.5,1번 (고즈넉/사색),26.9,"모지코 레트로은/는 기타큐슈에 위치한 명소로, 전통적이고 레트로한 빈티지 감성이 약 48.5%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 26.9%로 함께 나타난다. "
기타큐슈,모츠나베타슈 고쿠라점,27.1,35.6,16.9,20.3,label_2번 (레트로/빈티지),59,식당,2번 (레트로/빈티지),35.6,1번 (고즈넉/사색),27.1,"모츠나베타슈 고쿠라점은/는 기타큐슈에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 35.6%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 27.1%로 함께 나타난다. "
기타큐슈,사라쿠라야마 전망대,57.0,12.8,19.5,10.7,label_1번 (고즈넉/사색),149,명소,1번 (고즈넉/사색),57.0,3번 (청량/바다),19.5,"사라쿠라야마 전망대은/는 기타큐슈에 위치한 명소로, 조용하고 차분한 분위기이 약 57.0%로 가장 높게 나타나며, 맑고 청량한 풍경과 애니메이션 장면처럼 밝고 생동감 있는 분위기도 약 19.5%로 함께 나타난다. "
기타큐슈,사루타히코 라멘,17.6,52.0,8.8,21.6,label_2번 (레트로/빈티지),125,식당,2번 (레트로/빈티지),52.0,4번 (아기자기/소박),21.6,"사루타히코 라멘은/는 기타큐슈에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 52.0%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 21.6%로 함께 나타난다. "
기타큐슈,시로야 베이커리 고쿠라점,9.7,27.4,6.5,56.5,label_4번 (아기자기/소박),62,카페,4번 (아기자기/소박),56.5,2번 (레트로/빈티지),27.4,"시로야 베이커리 고쿠라점은/는 기타큐슈에 위치한 카페로, 아기자기하고 소박한 감성이 약 56.5%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 27.4%로 함께 나타난다. "
기타큐슈,야키니쿠 아지 이치방 쇼짱,11.4,50.0,9.1,29.5,label_2번 (레트로/빈티지),88,식당,2번 (레트로/빈티지),50.0,4번 (아기자기/소박),29.5,"야키니쿠 아지 이치방 쇼짱은/는 기타큐슈에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 50.0%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 29.5%로 함께 나타난다. "
기타큐슈,요시마루,21.9,50.0,15.6,12.5,label_2번 (레트로/빈티지),32,식당,2번 (레트로/빈티지),50.0,1번 (고즈넉/사색),21.9,"요시마루은/는 기타큐슈에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 50.0%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 21.9%로 함께 나타난다. "
기타큐슈,우오마치 긴텐가이,20.9,36.0,10.5,32.6,label_2번 (레트로/빈티지),86,명소,2번 (레트로/빈티지),36.0,4번 (아기자기/소박),32.6,"우오마치 긴텐가이은/는 기타큐슈에 위치한 명소로, 전통적이고 레트로한 빈티지 감성이 약 36.0%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 32.6%로 함께 나타난다. "
기타큐슈,챠챠타운 고쿠라,41.7,16.7,8.3,33.3,label_1번 (고즈넉/사색),12,명소,1번 (고즈넉/사색),41.7,4번 (아기자기/소박),33.3,"챠챠타운 고쿠라은/는 기타큐슈에 위치한 명소로, 조용하고 차분한 분위기이 약 41.7%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 33.3%로 함께 나타난다. "
기타큐슈,카페 마티에르,11.8,32.4,8.8,47.1,label_4번 (아기자기/소박),34,카페,4번 (아기자기/소박),47.1,2번 (레트로/빈티지),32.4,"카페 마티에르은/는 기타큐슈에 위치한 카페로, 아기자기하고 소박한 감성이 약 47.1%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 32.4%로 함께 나타난다. "
기타큐슈,코가네무시,13.8,52.2,5.0,28.9,label_2번 (레트로/빈티지),159,식당,2번 (레트로/빈티지),52.2,4번 (아기자기/소박),28.9,"코가네무시은/는 기타큐슈에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 52.2%로 가장 높게 나타나며, 아기자기하고 소박한 감성도 약 28.9%로 함께 나타난다. "
다카마쓰,HIYORI WASANBON tea stand,21.4,21.4,0.0,57.1,label_4번 (아기자기/소박),28,카페,4번 (아기자기/소박),57.1,1번 (고즈넉/사색),21.4,"HIYORI WASANBON tea stand은/는 다카마쓰에 위치한 카페로, 아기자기하고 소박한 감성이 약 57.1%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 21.4%로 함께 나타난다. "
다카마쓰,JUNE COFFEE TAKAMATSU,25.0,25.0,0.0,50.0,label_4번 (아기자기/소박),8,카페,4번 (아기자기/소박),50.0,1번 (고즈넉/사색),25.0,"JUNE COFFEE TAKAMATSU은/는 다카마쓰에 위치한 카페로, 아기자기하고 소박한 감성이 약 50.0%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 25.0%로 함께 나타난다. "
다카마쓰,Sanuki Udon Ippuku Kokubunji Main Store,25.0,62.5,12.5,0.0,label_2번 (레트로/빈티지),8,식당,2번 (레트로/빈티지),62.5,1번 (고즈넉/사색),25.0,"Sanuki Udon Ippuku Kokubunji Main Store은/는 다카마쓰에 위치한 식당로, 전통적이고 레트로한 빈티지 감성이 약 62.5%로 가장 높게 나타나며, 조용하고 차분한 분위기도 약 25.0%로 함께 나타난다. "
다카마쓰,리쓰린 공원,43.0,28.5,9.1,19.4,label_1번 (고즈넉/사색),165,명소,1번 (고즈넉/사색),43.0,2번 (레트로/빈티지),28.5,"리쓰린 공원은/는 다카마쓰에 위치한 명소로, 조용하고 차분한 분위기이 약 43.0%로 가장 높게 나타나며, 전통적이고 레트로한 빈티지 감성도 약 28.5%로 함께 나타난다. "
